ID,Time_h,perc_ID_g,Species,Age/weight,Strain,Organ,Size_nm,Analysis method,NP_Type,NP_Shape,Ligand,Charge,PEG cover,provided_identifier,Name,Charge ,provided_identifier_type,pmcid,doi
1,0.5,6.273222989,Mouse,23.7,Balb/c mice,Spleen,4.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,Gold 4nm,,pmid,,
1,4.0,7.720889833,Mouse,23.7,Balb/c mice,Spleen,4.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
1,24.0,24.80335859,Mouse,23.7,Balb/c mice,Spleen,4.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
1,168.0,145.0,Mouse,23.7,Balb/c mice,Spleen,4.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
1,720.0,87.25,Mouse,23.7,Balb/c mice,Spleen,4.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
1,2160.0,58.67,Mouse,23.7,Balb/c mice,Spleen,4.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
1,4320.0,20.83236457,Mouse,23.7,Balb/c mice,Spleen,4.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
2,0.5,5.415977133,Mouse,23.7,Balb/c mice,Spleen,13.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,Gold 13nm,,pmid,,
2,4.0,7.221302843,Mouse,23.7,Balb/c mice,Spleen,13.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
2,24.0,24.97367233,Mouse,23.7,Balb/c mice,Spleen,13.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
2,168.0,225.0639386,Mouse,23.7,Balb/c mice,Spleen,13.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
2,720.0,112.5319693,Mouse,23.7,Balb/c mice,Spleen,13.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
2,2160.0,71.6112532,Mouse,23.7,Balb/c mice,Spleen,13.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
